review,actual_stars,predicted_stars,raw_response,valid_json,error
"This place is great!
If you talk to anybody they have a suggestion for a great flavor.
You can bring in food from another place to enjoy and just enjoy a great atmosphere.
With the music that someone has an issue with you can just talk to the DJ to get a suggestion they are MORE than accommodating.
They have a great happy hour prices! 
Overall great prices, great people, and a great time! If you have the right mind :)",5.0,5.0,"[
  {
    ""review_id"": 2750,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 7487,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5272,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5653,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 3999,
    ""predicted_stars"": 5
  }
]",True,
Air Jordan! need I say more?,3.0,5.0,"[
  {
    ""review_id"": 2750,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 7487,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5272,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5653,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 3999,
    ""predicted_stars"": 5
  }
]",True,
"There are many other reviews which extol the virtues of this location. I just wanted to add some of my experiences as well as a few observations.

First off, at the time of this writing I've been in Phoenix for about a year. Learning about all the necessary places to go in a new town, I had the opportunity to rate businesses objectively (not like 'My mom always went there so I do too...')

Fry's became a standard 'go to' place. Their hours are great (5 AM to 1 AM). There are many locations, and their prices are very competitive. They also have a convenient VIP card and electronic coupon progra",4.0,5.0,"[
  {
    ""review_id"": 2750,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 7487,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5272,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5653,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 3999,
    ""predicted_stars"": 5
  }
]",True,
"TJ was there for me when my water heater broke and started flooding my garage.  He walked me through fixing it over the phone until he was able to send some help to my house.  Very grateful, and I will continue referring!",5.0,5.0,"[
  {
    ""review_id"": 2750,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 7487,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5272,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5653,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 3999,
    ""predicted_stars"": 5
  }
]",True,
"So I was pretty excited about this burger joint opening since it's President Obama's favorite... 
The burger was good. Not great, not bland, just okay. My biggest hang up with this restaurant are the prices! Skip the beverage... it's very over priced. I was also not impressed with the fries- regular or cajun. They were pretty average as well. Stick with the burger and skip the rest is my suggestion to you.",2.0,3.0,"[  
   {  
      ""review_id"": 6033,
      ""predicted_stars"": 3
   },
   {  
      ""review_id"": 582,
      ""predicted_stars"": 2
   },
   {  
      ""review_id"": 9930,
      ""predicted_stars"": 4
   },
   {  
      ""review_id"": 7051,
      ""predicted_stars"": 5
   },
   {  
      ""review_id"": 8158,
      ""predicted_stars"": 4
   }
]",True,
"I really don't consider myself a Neiman's type of girl...
As a matter of fact, I don't really feel comfortable in Neiman's - it's extremely 'fancy' and high end for me.  But, I've gone in a handful of times and even bought a dress or two on sale at Neiman's in the past.  I admit, the quality associated with the designer labels at this store is pretty amazing.

Anyways, I felt some major pressure to register at Neiman's from my mom, so I met my mother-in-law-to-be at this Neiman's location on Sunday.  The housewares / registry department is extremely small... and although the woman working was ",4.0,2.0,"[  
   {  
      ""review_id"": 6033,
      ""predicted_stars"": 3
   },
   {  
      ""review_id"": 582,
      ""predicted_stars"": 2
   },
   {  
      ""review_id"": 9930,
      ""predicted_stars"": 4
   },
   {  
      ""review_id"": 7051,
      ""predicted_stars"": 5
   },
   {  
      ""review_id"": 8158,
      ""predicted_stars"": 4
   }
]",True,
"I have been trying to reduce my caloric intake and found out that at Red Robin you can order a ""petite"" burger. It is smaller but has the same toppings you order on the regular. So for those of you that don't want to have a burger that is 1000 calories (yes they are and more with the endless fries) , try the petite.",4.0,4.0,"[  
   {  
      ""review_id"": 6033,
      ""predicted_stars"": 3
   },
   {  
      ""review_id"": 582,
      ""predicted_stars"": 2
   },
   {  
      ""review_id"": 9930,
      ""predicted_stars"": 4
   },
   {  
      ""review_id"": 7051,
      ""predicted_stars"": 5
   },
   {  
      ""review_id"": 8158,
      ""predicted_stars"": 4
   }
]",True,
Great pizza and awesome must have guacamole pizza appitizer!!!!,5.0,5.0,"[  
   {  
      ""review_id"": 6033,
      ""predicted_stars"": 3
   },
   {  
      ""review_id"": 582,
      ""predicted_stars"": 2
   },
   {  
      ""review_id"": 9930,
      ""predicted_stars"": 4
   },
   {  
      ""review_id"": 7051,
      ""predicted_stars"": 5
   },
   {  
      ""review_id"": 8158,
      ""predicted_stars"": 4
   }
]",True,
"This is a quaint little airport which is very convenient if you are travelling to the Tempe/Mesa area, or already know people who live there.  I say it's convenient-- if you are flying in from Grand Island or Grand Forks or Rapid City or East Bugtussel, since the only commercial tenant at this decomissioned air force base is Allegiant Airlines, which specializes in flying you from nowhere to somewhere (Phoenix, Las Vegas, Orlando that sort of thing).  

But from landing to sitting in my rental car it was maybe 20 minutes tops and I was heading out to lunch in the Phoenix area (don't bother wit",5.0,4.0,"[  
   {  
      ""review_id"": 6033,
      ""predicted_stars"": 3
   },
   {  
      ""review_id"": 582,
      ""predicted_stars"": 2
   },
   {  
      ""review_id"": 9930,
      ""predicted_stars"": 4
   },
   {  
      ""review_id"": 7051,
      ""predicted_stars"": 5
   },
   {  
      ""review_id"": 8158,
      ""predicted_stars"": 4
   }
]",True,
"Headed back to Lobby's. How I missed this tasty burger. I wasn't disappointed with round 2. The burger was still fantastic! I'm also happy that the fries were a little bit less salty than my previous trip. 

With any burger purchase, getting the combo pack (fries/soda) is the smart choice.

I do wish that they would lose the styrofoam soda cups and offer more than one size of drinks.

Make sure to grab plenty of napkins before you sit down. The burger can make a mess with the homemade sauce dripping off the meat and bun. That's a good thing in my opinion!",5.0,5.0,"[
  {
    ""review_id"": 9896,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 2249,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 4640,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 9485,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4947,
    ""predicted_stars"": 5
  }
]",True,
"Simple but really great cajun food prepared in steamers right in front of you.  Selections include gumbo, pan roasts (a tomato-based broth with chunks of seafood), or seafood creole all with your choice of shrimp, crab, chicken, crawfish, oysters, or all five, with rice. They also have fresh oysters, jumbo shrimp cocktails, salads, and tasty seafood chowder, as well as the occasional lobster special. I've been probably 20 times and still never had a bad dish. The staff is friendly and helpful, and will adjust the spiciness of the dishes to your taste. By far the best option at the Talking Stic",5.0,5.0,"[
  {
    ""review_id"": 9896,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 2249,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 4640,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 9485,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4947,
    ""predicted_stars"": 5
  }
]",True,
"Staff was very rude, bowling prices weren't displayed to the best of their ability, extreme bowling itself was over priced almost $20 per person. The only thing about their extreme bowling was that it was extremely hot, temperature wise. they had many ceiling fans and not one of them turned on. And the bowling equipment malfunctioned three times during our games. It was not a pleasant experience and I don't believe we'll be going to this facility again.",1.0,1.0,"[
  {
    ""review_id"": 9896,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 2249,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 4640,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 9485,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4947,
    ""predicted_stars"": 5
  }
]",True,
"The staff is really helpful.  I arrived without credit card due to a travel mishap and they were great about providing assistance to get me to a bank to help clear things up.  Their bell staff is friendly and knowledgable.  They can and will get you anywhere in town.  

Room was okay.  Clean, well furnished and updated.  I had a window overlooking the courtyard and I would recommend avoiding that.  It can get a little loud at night.  

Banquet food was good.  Not great, but good and plentiful.  Good variety of dishes for everyone from salads and sandwiches to hot dishes.  A few of the items we",4.0,4.0,"[
  {
    ""review_id"": 9896,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 2249,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 4640,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 9485,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4947,
    ""predicted_stars"": 5
  }
]",True,
"Someone asked the question in the Yelp talk threads where the best place was for fried things, like french fries and onion rings.  Several people said Ted's had great onion rings......so off I went!  

I expected a smaller place but I was pleasantly suprised when I pulled up to a medium sized store.  I was greated with a smile and asked what I would like.  It was a Sunday afternoon so they were not very busy.  I liked the fact that you tell them what you want and they toss it on the grill right in front of you.  Everything is freshly cooked.  They did the same with the onion rings and french f",4.0,5.0,"[
  {
    ""review_id"": 9896,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 2249,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 4640,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 9485,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4947,
    ""predicted_stars"": 5
  }
]",True,
"After browsing at the Bookman's next door, we were feeling hungry and were tempted by the notion of tasty burritos.  We ended up getting non-burrito meals, but were fully satisfied with our entrees.  The green chile plate was filled with perfectly cooked pork with a spicy tomatillo sauce that went well with the pork.  The horchata tasted freshly made and was very refreshing and light.  Overall, I think Big Burrito is a good option for those that want a filling meal without breaking your wallet.",4.0,4.0,"[
  {
    ""review_id"": 9920,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 1963,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 8243,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 6590,
    ""predicted_stars"": 2
  },
  {
    ""review_id"": 8847,
    ""predicted_stars"": 1
  }
]",True,
Prices are often way too high!,1.0,1.0,"[
  {
    ""review_id"": 9920,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 1963,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 8243,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 6590,
    ""predicted_stars"": 2
  },
  {
    ""review_id"": 8847,
    ""predicted_stars"": 1
  }
]",True,
"I have been to this place twice so far.  The first time I had no idea what to expect since I never heard of it before.  I honestly have no idea what to compare it to but I guess the closest thing is Texas Road House judging by the reviews here on Yelp.  Anyway, I know its not the classiest joint with the best food, but anything is worth a fair shot.  The first time my wife and I went we were in the area doing some shopping and just wanted something quick and casual for dinner.  We didn't expect anything great but to be honest our expectations were exceeded.

The happy hour is pretty good.  $3 ",4.0,4.0,"[
  {
    ""review_id"": 9920,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 1963,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 8243,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 6590,
    ""predicted_stars"": 2
  },
  {
    ""review_id"": 8847,
    ""predicted_stars"": 1
  }
]",True,
"The wood saw is always out of service...
The garden department is nice, but the staff is a little strange.

This location never seems to be busy, so check out times are short. 
The prices are higher than ""another"" home improvement store just east on Baseline.

Meh.",2.0,2.0,"[
  {
    ""review_id"": 9920,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 1963,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 8243,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 6590,
    ""predicted_stars"": 2
  },
  {
    ""review_id"": 8847,
    ""predicted_stars"": 1
  }
]",True,
"I've never been to a restaurant where we (a party of 6 with a reservation) sat at a cleared table with no water, no bread, no cutlery, no service for 15 minutes before receiving a menu .... when we finally had someone provide a menu, it then took another 15 minutes to get the wine we ordered. 
Still no bread, still no food. 

The server dumped the wine bottle on the table (unopened), and went to find glasses. 10 minutes later she then threw the bottle opener at our table so we could open the wine ourselves while she went to find glasses. Most (!?!) of the wine glasses arrived within the next 1",2.0,1.0,"[
  {
    ""review_id"": 9920,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 1963,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 8243,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 6590,
    ""predicted_stars"": 2
  },
  {
    ""review_id"": 8847,
    ""predicted_stars"": 1
  }
]",True,
"My wife and I live around the corner, hadn't eaten here in a few months. We got food for take out, Mongolian beef,kung po chicken,pad Thai noodles.  Mongolian beef, there were more white onions then scallions and it was very bland. Kung po chicken,lots of white meat chicken the whole dish only had one peanut and the taste of this dish was non existent. Very very Blah... Pad Thai noodles,the dish was dry and came out of the container in one giant clump. It tasted like plain noodles, i was glad I had peanut sauce in the fridge to,add to it. Then it was edible .... We will not be going back to G@",1.0,1.0,"[
  {
    ""review_id"": 321,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 2678,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 4625,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4949,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 8328,
    ""predicted_stars"": 5
  }
]",True,
"Ok, so I have to share my morning experience. But first I must start off by saying this: I'm no moron. Honest. 

So, this morning I stopped for gas. My tank was getting dangerously low and there was no way I'd make it to work. That's okay, for I allotted time this morning for re-filling my tank. From my casa, I turned East on Indian School, vaguely remembering there's a Quick Trip nearby. Perfect. I had stopped there before. 

But it wasn't a Quick Trip I saw at the corner of Central and Indian School. Not wanting to risk running out of gas, I opted to stop here, at this ampm station. 

I pull",1.0,3.0,"[
  {
    ""review_id"": 321,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 2678,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 4625,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4949,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 8328,
    ""predicted_stars"": 5
  }
]",True,
"Found this place by accident.  Not the greatest location.

The pulled pork rates about an 8 on my scale.  Didn't need sauce, but the sauce (sweet) was good.  The Ranch beans are a tad spicy but still good.  The slaw needs a little help.

I will definitely go back and sample the rest of the menu.",3.0,4.0,"[
  {
    ""review_id"": 321,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 2678,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 4625,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4949,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 8328,
    ""predicted_stars"": 5
  }
]",True,
"I'm a little bit country. I'm a little bit rock n roll...thank you Donny and Marie. Pinnacle Peak General Store is all country baby. 100% U.S. grade countrilicous! Well, ok, it's in North Scottsdale so it's got a pretty yuppified clientele. Part gas station, convienence store, cafe and post office....this is the cutest place ever. Was kinda my morning hang when I lived at DCRanch. Cup o joe, and the #1 Breakfast with 1 pancake, 2 eggs and bacon. I'm tellin' ya...it's good. Hard to screw up bacon and eggs so I'll rave about my pcake...a bit crispy around the edges and full of buttermilk flavor.",4.0,5.0,"[
  {
    ""review_id"": 321,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 2678,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 4625,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4949,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 8328,
    ""predicted_stars"": 5
  }
]",True,
"This subway is one of the cleanest, and most efficient subways I have EVER been to.  I've only been in the evenings, but I have to say every time I walk in, someone is always cleaning something.  Their employees are friendly and the food under the glass is fresh looking and appetizing and in their own bins.  Sometimes you can go to a subway and the prep area is a wreck. Thats what makes this Subway so great. Everything is in it's place, and orderly and makes you feel like they take pride in their work.  Absolutely I will go here again, and I can't say that about many Subways unfortunately.",5.0,5.0,"[
  {
    ""review_id"": 321,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 2678,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 4625,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 4949,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 8328,
    ""predicted_stars"": 5
  }
]",True,
"I agree with the other reviewers.. Ink bomb is definitely a shop that has a family vibe. All the tattooers are down to earth and have you, their customer in mind. There are usually 3 or 4 tattooers there, giving you a wide variety on technique, style, and experience.. all of which are important when picking your tattooer. I suggest always going in and having a consultation and looking at each persons portfolio to choose someone who fits your style whether it be ""New school"" or ""Traditional""   This shop has on open layout and a friendly vibe which allows your to let your guard down a bit.. beca",5.0,5.0,"[
  {
    ""review_id"": 3337,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5589,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 251,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 3973,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 6630,
    ""predicted_stars"": 1
  }
]",True,
"Simply the best sandwiches I have ever tasted.

The Mozarella, Tomato, Basil is perfect. The focaccia bread is perfectly crunchy and slightly salted to the consummate texture.

I wish I still worked closer...",5.0,5.0,"[
  {
    ""review_id"": 3337,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5589,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 251,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 3973,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 6630,
    ""predicted_stars"": 1
  }
]",True,
"Went here today Sunday about 8:50 and it was crowded but not to bad, about 1/2 hour wait. Im warning you now, dont ask how much longer after you put your name in if they told you how long when you checked in. 

About 10am is when it really got packed, just about when we got done. I ordered the chicken and waffles and i really liked it. I asked for some butter for my waffle because it didnt come with any and it made the dish perfect for me. The chicken had great flavor and when you take a bite with the waffle and butter and the syrup, heaven. I tried some bites without the butter and it wasnt e",5.0,4.0,"[
  {
    ""review_id"": 3337,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5589,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 251,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 3973,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 6630,
    ""predicted_stars"": 1
  }
]",True,
"Great BBQ, although not a huge fan of the cafeteria style ordering. I have been twice, I got the brisket sandwich one time and ribs the next. Both were delicious. I added  bbq sauce to the ribs because I thought they needed it. Try the homemade root beer at least once, too. YUM. We got there just in time ( a bit before 6 on a Friday night)  as we were leaving the line was 3x as long...out the door and around the corner.  Oh FYI...for sides I got the beans (loved them) and my kids said the macaroni and cheese was good. Dad wasn't impressed with the coleslaw.",4.0,4.0,"[
  {
    ""review_id"": 3337,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5589,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 251,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 3973,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 6630,
    ""predicted_stars"": 1
  }
]",True,
Well I just wasted 38 bucks....never again,2.0,1.0,"[
  {
    ""review_id"": 3337,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 5589,
    ""predicted_stars"": 5
  },
  {
    ""review_id"": 251,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 3973,
    ""predicted_stars"": 4
  },
  {
    ""review_id"": 6630,
    ""predicted_stars"": 1
  }
]",True,
"While staying at The Pointe Hilton Tapatio, we decided to eat here for our anniversary dinner. To sum it up, I've had everything better somewhere else. Nothing blew my socks off. 

Hubby is eating mostly vegetarian right now (due to a health concern), and he did really like his ""wild mushroom"" rigatoni. We weren't sure what was so ""wild"" about criminis and portobellos, but the pasta was in a light sauce with plenty of other veggies. His French Onion Soup was better at Capital Grille, my antipasto plate was far better at Craftsteak, and my ribeye was far better at 1130. They did serve a neat we",3.0,2.0,"[
  {
    ""review_id"": 5547,
    ""predicted_stars"": 2
  },
  {
    ""review_id"": 35,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 8362,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 1513,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 9317,
    ""predicted_stars"": 5
  }
]",True,
"I've eaten here many times, but none as bad as last night.
Service was excellent, and highly attentive.
Food, absolutely horrible.

My expectation was they would serve a steak on par with their seafood. After all, they were charging 39 bucks for a ribeye. 
What I was hoping for was a 1- 1-1/2' thick steak, cooked Pittsburgh style as I had ordered. 
What I got a a 3/4 in thick piece of meat that was mostly fat, gristle, and in no way resembled Pittsburgh Style. 
Salad, similar to something you could get at Chick Filet
Veggies, blah.
Bread basket, ample, but day old, and if not, it certainly was",1.0,1.0,"[
  {
    ""review_id"": 5547,
    ""predicted_stars"": 2
  },
  {
    ""review_id"": 35,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 8362,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 1513,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 9317,
    ""predicted_stars"": 5
  }
]",True,
"Some of my friends brought me here last night and the first thing that came into my mind was that this was a set up for To Catch A Predator. I was ready for Chris Hansen to pop out and grill me with, ""What are you doing here?"" If you feel like Kubrick's Lolita really speaks to you, as in it mirrors your life, then you've found a place to feel comfortable in your pervert skin.

If you're of age to consume alcohol, they've got a bar here. The thing about this bar though is that they're really sloppy about pouring drinks, ie. a Manhattan should not taste like a barber's cleaning solution. The dec",1.0,1.0,"[
  {
    ""review_id"": 5547,
    ""predicted_stars"": 2
  },
  {
    ""review_id"": 35,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 8362,
    ""predicted_stars"": 1
  },
  {
    ""review_id"": 1513,
    ""predicted_stars"": 3
  },
  {
    ""review_id"": 9317,
    ""predicted_stars"": 5
  }
]",True,
